Entity,Code,Year,antimicrobial_aqua_law
Afghanistan,AFG,2024,No 
Albania,ALB,2024,No 
Algeria,DZA,2024,Yes 
Andorra,AND,2024,Yes 
Angola,AGO,2024,No 
Antigua and Barbuda,ATG,2024,Yes 
Argentina,ARG,2024,No 
Armenia,ARM,2024,No 
Australia,AUS,2024,Yes 
Austria,AUT,2024,Yes 
Azerbaijan,AZE,2024,No 
Bahamas,BHS,2024,No 
Bahrain,BHR,2024,Yes 
Bangladesh,BGD,2024,Yes 
Barbados,BRB,2024,Yes 
Belarus,BLR,2024,Yes 
Belgium,BEL,2024,Yes 
Belize,BLZ,2024,Yes 
Benin,BEN,2024,No 
Bhutan,BTN,2024,Yes 
Bosnia and Herzegovina,BIH,2024,Yes 
Botswana,BWA,2024,Yes 
Brazil,BRA,2024,Yes 
Brunei,BRN,2024,No 
Bulgaria,BGR,2024,Yes 
Burkina Faso,BFA,2024,Yes 
Burundi,BDI,2024,No 
Cambodia,KHM,2024,Yes 
Cameroon,CMR,2024,No 
Canada,CAN,2024,Yes 
Cape Verde,CPV,2024,No 
Central African Republic,CAF,2024,Yes 
Chad,TCD,2024,Yes 
Chile,CHL,2024,Yes 
China,CHN,2024,Yes 
Colombia,COL,2024,Yes 
Comoros,COM,2024,No 
Congo,COG,2024,No 
Cook Islands,COK,2024,No 
Costa Rica,CRI,2024,No 
Cote d'Ivoire,CIV,2024,Yes 
Croatia,HRV,2024,Yes 
Cuba,CUB,2024,Yes 
Cyprus,CYP,2024,Yes 
Czechia,CZE,2024,Yes 
Democratic Republic of Congo,COD,2024,No 
Denmark,DNK,2024,Yes 
Djibouti,DJI,2024,No 
Dominican Republic,DOM,2024,Yes 
East Timor,TLS,2024,No 
Ecuador,ECU,2024,No 
Egypt,EGY,2024,No 
El Salvador,SLV,2024,No 
Equatorial Guinea,GNQ,2024,No 
Eritrea,ERI,2024,No 
Estonia,EST,2024,Yes 
Eswatini,SWZ,2024,Yes 
Ethiopia,ETH,2024,Yes 
Fiji,FJI,2024,Yes 
Finland,FIN,2024,Yes 
France,FRA,2024,Yes 
Gabon,GAB,2024,No 
Gambia,GMB,2024,No 
Georgia,GEO,2024,Yes 
Germany,DEU,2024,Yes 
Ghana,GHA,2024,Yes 
Greece,GRC,2024,Yes 
Grenada,GRD,2024,No 
Guatemala,GTM,2024,Yes 
Guinea,GIN,2024,No 
Guinea-Bissau,GNB,2024,Yes 
Guyana,GUY,2024,Yes 
Haiti,HTI,2024,No 
Honduras,HND,2024,Yes 
Hungary,HUN,2024,Yes 
Iceland,ISL,2024,Yes 
India,IND,2024,Yes 
Indonesia,IDN,2024,Yes 
Iran,IRN,2024,Yes 
Iraq,IRQ,2024,Yes 
Ireland,IRL,2024,Yes 
Italy,ITA,2024,Yes 
Jamaica,JAM,2024,Yes 
Japan,JPN,2024,Yes 
Jordan,JOR,2024,No 
Kazakhstan,KAZ,2024,Yes 
Kenya,KEN,2024,Yes 
Kiribati,KIR,2024,Yes 
Kuwait,KWT,2024,No 
Kyrgyzstan,KGZ,2024,No 
Laos,LAO,2024,Yes 
Latvia,LVA,2024,Yes 
Lebanon,LBN,2024,Yes 
Lesotho,LSO,2024,Yes 
Liberia,LBR,2024,Yes 
Libya,LBY,2024,No 
Lithuania,LTU,2024,Yes 
Luxembourg,LUX,2024,No 
Madagascar,MDG,2024,No 
Malawi,MWI,2024,No 
Malaysia,MYS,2024,No 
Maldives,MDV,2024,No 
Mali,MLI,2024,No 
Malta,MLT,2024,Yes 
Mauritania,MRT,2024,Yes 
Mauritius,MUS,2024,Yes 
Mexico,MEX,2024,Yes 
Moldova,MDA,2024,Yes 
Monaco,MCO,2024,Yes 
Mongolia,MNG,2024,No 
Montenegro,MNE,2024,Yes 
Morocco,MAR,2024,Yes 
Mozambique,MOZ,2024,No 
Myanmar,MMR,2024,No 
Namibia,NAM,2024,Yes 
Nauru,NRU,2024,No 
Nepal,NPL,2024,Yes 
Netherlands,NLD,2024,No 
New Zealand,NZL,2024,Yes 
Nicaragua,NIC,2024,Yes 
Niger,NER,2024,No 
Nigeria,NGA,2024,Yes 
North Korea,PRK,2024,No 
North Macedonia,MKD,2024,Yes 
Norway,NOR,2024,Yes 
Oman,OMN,2024,Yes 
Pakistan,PAK,2024,Yes 
Palau,PLW,2024,No 
Panama,PAN,2024,Yes 
Papua New Guinea,PNG,2024,Yes 
Paraguay,PRY,2024,No 
Peru,PER,2024,Yes 
Philippines,PHL,2024,Yes 
Poland,POL,2024,Yes 
Portugal,PRT,2024,Yes 
Qatar,QAT,2024,Yes 
Romania,ROU,2024,Yes 
Russia,RUS,2024,Yes 
Rwanda,RWA,2024,No 
Saint Kitts and Nevis,KNA,2024,No 
Saint Lucia,LCA,2024,Yes 
Saint Vincent and the Grenadines,VCT,2024,No 
San Marino,SMR,2024,Yes 
Sao Tome and Principe,STP,2024,No 
Saudi Arabia,SAU,2024,Yes 
Senegal,SEN,2024,Yes 
Serbia,SRB,2024,Yes 
Seychelles,SYC,2024,No 
Sierra Leone,SLE,2024,No 
Singapore,SGP,2024,No 
Slovakia,SVK,2024,Yes 
Slovenia,SVN,2024,Yes 
Solomon Islands,SLB,2024,Yes 
Somalia,SOM,2024,No 
South Africa,ZAF,2024,Yes 
South Korea,KOR,2024,Yes 
South Sudan,SSD,2024,No 
Spain,ESP,2024,Yes 
Sri Lanka,LKA,2024,Yes 
Sudan,SDN,2024,No 
Suriname,SUR,2024,Yes 
Sweden,SWE,2024,Yes 
Switzerland,CHE,2024,Yes 
Syria,SYR,2024,Yes 
Tajikistan,TJK,2024,No 
Tanzania,TZA,2024,Yes 
Thailand,THA,2024,Yes 
Togo,TGO,2024,Yes 
Tonga,TON,2024,No 
Trinidad and Tobago,TTO,2024,Yes 
Tunisia,TUN,2024,Yes 
Turkey,TUR,2024,Yes 
Turkmenistan,TKM,2024,No 
Tuvalu,TUV,2024,No 
Uganda,UGA,2024,Yes 
Ukraine,UKR,2024,Yes 
United Arab Emirates,ARE,2024,Yes 
United Kingdom,GBR,2024,Yes 
United States,USA,2024,Yes 
Uruguay,URY,2024,Yes 
Uzbekistan,UZB,2024,No 
Vanuatu,VUT,2024,No 
Vietnam,VNM,2024,Yes 
Yemen,YEM,2024,No 
Zambia,ZMB,2024,No 
Zimbabwe,ZWE,2024,Yes 