Year,Country,Avg_Resistance_%
2000,Austria,17.8
2000,Belgium,20.85
2000,Bulgaria,40.2
2000,Czechia,4.27
2000,Denmark,0.2
2000,Estonia,
2000,Finland,1.36
2000,Germany,9.2
2000,Greece,21.01
2000,Iceland,2.5
2000,Ireland,37.96
2000,Italy,44.26
2000,Luxembourg,17.91
2000,Malta,35.53
2000,Netherlands,4.83
2000,Norway,3.61
2000,Portugal,25.17
2000,Slovenia,21.05
2000,Spain,29.4
2000,Sweden,0.61
2000,United Kingdom,41.44
2001,Austria,15.76
2001,Belgium,12.25
2001,Bulgaria,14.14
2001,Croatia,16.02
2001,Czechia,16.09
2001,Denmark,0.77
2001,Estonia,8.9
2001,Finland,10.83
2001,France,33.37
2001,Germany,17.43
2001,Greece,25.23
2001,Hungary,7.28
2001,Iceland,7.01
2001,Ireland,42.61
2001,Italy,25.53
2001,Luxembourg,8.14
2001,Malta,15.14
2001,Netherlands,11.95
2001,Norway,7.83
2001,Poland,15.74
2001,Portugal,22.44
2001,Slovakia,11.04
2001,Slovenia,12.18
2001,Spain,15.79
2001,Sweden,10.41
2001,United Kingdom,18.08
2002,Austria,15.3
2002,Belgium,15.01
2002,Bulgaria,22.67
2002,Croatia,14.38
2002,Czechia,19.0
2002,Denmark,0.93
2002,Estonia,8.85
2002,Finland,11.36
2002,France,12.17
2002,Germany,17.39
2002,Greece,26.26
2002,Hungary,8.26
2002,Iceland,3.21
2002,Ireland,21.43
2002,Italy,24.62
2002,Luxembourg,8.9
2002,Malta,12.41
2002,Netherlands,9.19
2002,Norway,7.41
2002,Poland,17.45
2002,Portugal,18.87
2002,Romania,21.31
2002,Slovakia,11.59
2002,Slovenia,12.37
2002,Spain,17.53
2002,Sweden,10.61
2002,United Kingdom,18.66
2003,Austria,16.79
2003,Belgium,13.29
2003,Bulgaria,20.0
2003,Croatia,17.54
2003,Cyprus,21.43
2003,Czechia,20.95
2003,Denmark,0.6
2003,Estonia,8.12
2003,Finland,12.6
2003,France,12.62
2003,Germany,19.56
2003,Greece,24.89
2003,Hungary,27.86
2003,Iceland,7.29
2003,Ireland,24.68
2003,Italy,27.38
2003,Luxembourg,12.49
2003,Malta,15.73
2003,Netherlands,10.83
2003,Norway,9.17
2003,Poland,23.46
2003,Portugal,31.18
2003,Romania,25.06
2003,Slovakia,12.72
2003,Slovenia,21.68
2003,Spain,17.76
2003,Sweden,11.99
2003,United Kingdom,19.79
2004,Austria,16.72
2004,Belgium,17.5
2004,Bulgaria,26.0
2004,Croatia,21.07
2004,Cyprus,23.37
2004,Czechia,20.83
2004,Denmark,1.25
2004,Estonia,11.73
2004,Finland,12.97
2004,France,13.75
2004,Germany,23.73
2004,Greece,25.98
2004,Hungary,26.1
2004,Iceland,6.55
2004,Ireland,26.5
2004,Italy,26.44
2004,Latvia,25.29
2004,Luxembourg,10.42
2004,Malta,21.12
2004,Netherlands,12.13
2004,Norway,11.69
2004,Poland,13.17
2004,Portugal,32.28
2004,Romania,32.96
2004,Slovakia,17.48
2004,Slovenia,18.46
2004,Spain,19.16
2004,Sweden,11.28
2004,United Kingdom,20.12
2005,Austria,13.12
2005,Belgium,20.32
2005,Bulgaria,31.5
2005,Croatia,22.37
2005,Cyprus,26.27
2005,Czechia,25.38
2005,Denmark,6.97
2005,Estonia,17.87
2005,Finland,10.29
2005,France,13.91
2005,Germany,17.41
2005,Greece,32.61
2005,Hungary,21.68
2005,Iceland,3.65
2005,Ireland,17.71
2005,Italy,22.9
2005,Latvia,9.92
2005,Luxembourg,14.35
2005,Malta,18.76
2005,Netherlands,10.9
2005,Norway,8.66
2005,Poland,32.54
2005,Portugal,32.43
2005,Romania,38.16
2005,Slovakia,16.08
2005,Slovenia,17.27
2005,Spain,14.16
2005,Sweden,8.0
2005,United Kingdom,16.34
2006,Austria,13.52
2006,Belgium,19.77
2006,Bulgaria,29.39
2006,Croatia,23.06
2006,Cyprus,17.84
2006,Czechia,27.28
2006,Denmark,9.39
2006,Estonia,14.77
2006,Finland,10.27
2006,France,14.01
2006,Germany,17.83
2006,Greece,34.14
2006,Hungary,20.23
2006,Iceland,7.52
2006,Ireland,19.02
2006,Italy,25.32
2006,Latvia,15.05
2006,Lithuania,10.58
2006,Luxembourg,12.03
2006,Malta,17.48
2006,Netherlands,10.68
2006,Norway,9.9
2006,Poland,31.72
2006,Portugal,24.03
2006,Romania,43.39
2006,Slovenia,17.29
2006,Spain,15.12
2006,Sweden,7.64
2006,United Kingdom,15.24
2007,Austria,14.0
2007,Belgium,19.42
2007,Bulgaria,25.85
2007,Croatia,23.92
2007,Cyprus,22.19
2007,Czechia,28.47
2007,Denmark,9.06
2007,Estonia,10.5
2007,Finland,10.17
2007,France,14.78
2007,Germany,20.25
2007,Greece,37.03
2007,Hungary,21.65
2007,Iceland,6.7
2007,Ireland,18.14
2007,Italy,25.28
2007,Latvia,18.24
2007,Lithuania,15.91
2007,Luxembourg,13.29
2007,Malta,12.34
2007,Netherlands,12.21
2007,Norway,10.39
2007,Poland,25.1
2007,Portugal,21.79
2007,Romania,33.44
2007,Slovenia,19.23
2007,Spain,17.55
2007,Sweden,7.71
2007,United Kingdom,15.8
2008,Austria,13.02
2008,Belgium,19.69
2008,Bulgaria,35.44
2008,Croatia,27.35
2008,Cyprus,23.71
2008,Czechia,29.85
2008,Denmark,12.32
2008,Estonia,16.43
2008,Finland,9.8
2008,France,15.65
2008,Germany,16.14
2008,Greece,37.22
2008,Hungary,25.2
2008,Iceland,7.7
2008,Ireland,17.05
2008,Italy,26.19
2008,Latvia,24.57
2008,Lithuania,22.93
2008,Luxembourg,11.07
2008,Malta,18.9
2008,Netherlands,12.43
2008,Norway,10.01
2008,Poland,18.31
2008,Portugal,22.1
2008,Romania,25.86
2008,Slovenia,19.83
2008,Spain,17.86
2008,Sweden,8.42
2008,United Kingdom,14.0
2009,Austria,13.09
2009,Belgium,16.08
2009,Bulgaria,30.2
2009,Cyprus,23.06
2009,Czechia,28.47
2009,Denmark,12.24
2009,Estonia,16.62
2009,Finland,9.3
2009,France,18.01
2009,Germany,16.92
2009,Greece,37.94
2009,Hungary,26.91
2009,Iceland,10.61
2009,Ireland,17.31
2009,Italy,26.16
2009,Latvia,22.93
2009,Lithuania,21.57
2009,Luxembourg,14.77
2009,Malta,17.16
2009,Netherlands,12.11
2009,Norway,9.55
2009,Poland,25.01
2009,Portugal,22.79
2009,Romania,25.72
2009,Slovenia,19.59
2009,Spain,18.69
2009,Sweden,
2009,United Kingdom,14.62
2010,Austria,15.25
2010,Belgium,14.35
2010,Bulgaria,30.81
2010,Croatia,25.72
2010,Cyprus,21.28
2010,Czechia,27.47
2010,Denmark,13.54
2010,Estonia,15.62
2010,Finland,9.4
2010,France,18.17
2010,Germany,17.72
2010,Greece,38.67
2010,Hungary,29.02
2010,Iceland,6.7
2010,Ireland,16.85
2010,Italy,27.73
2010,Latvia,26.65
2010,Lithuania,24.08
2010,Luxembourg,16.11
2010,Malta,20.06
2010,Netherlands,12.77
2010,Norway,10.46
2010,Poland,25.88
2010,Portugal,24.53
2010,Romania,26.42
2010,Slovenia,19.16
2010,Spain,18.29
2010,Sweden,8.18
2010,United Kingdom,14.06
2011,Austria,16.33
2011,Belgium,16.22
2011,Bulgaria,32.26
2011,Croatia,26.88
2011,Cyprus,25.68
2011,Czechia,25.99
2011,Denmark,13.89
2011,Estonia,10.22
2011,Finland,10.89
2011,France,19.82
2011,Germany,16.91
2011,Greece,39.6
2011,Hungary,26.61
2011,Iceland,10.17
2011,Ireland,16.47
2011,Italy,29.43
2011,Latvia,23.75
2011,Lithuania,28.77
2011,Luxembourg,19.51
2011,Malta,17.36
2011,Netherlands,13.37
2011,Norway,9.27
2011,Poland,29.99
2011,Portugal,24.66
2011,Romania,30.18
2011,Slovakia,37.57
2011,Slovenia,19.91
2011,Spain,18.49
2011,Sweden,9.28
2011,United Kingdom,13.57
2012,Austria,15.77
2012,Belgium,15.99
2012,Bulgaria,36.11
2012,Croatia,26.09
2012,Cyprus,24.6
2012,Czechia,26.99
2012,Denmark,12.53
2012,Estonia,15.28
2012,Finland,9.38
2012,France,17.79
2012,Germany,14.74
2012,Greece,44.14
2012,Hungary,32.03
2012,Iceland,10.47
2012,Ireland,18.99
2012,Italy,39.33
2012,Latvia,22.05
2012,Lithuania,26.1
2012,Luxembourg,16.67
2012,Malta,17.04
2012,Netherlands,11.66
2012,Norway,9.4
2012,Poland,33.98
2012,Portugal,33.3
2012,Romania,44.74
2012,Slovakia,38.25
2012,Slovenia,19.47
2012,Spain,19.03
2012,Sweden,8.61
2012,United Kingdom,13.12
2013,Austria,15.07
2013,Belgium,16.14
2013,Bulgaria,33.43
2013,Croatia,34.38
2013,Cyprus,27.82
2013,Czechia,24.58
2013,Denmark,11.59
2013,Estonia,16.64
2013,Finland,8.12
2013,France,17.45
2013,Germany,15.46
2013,Greece,43.47
2013,Hungary,31.27
2013,Iceland,7.09
2013,Ireland,16.85
2013,Italy,38.24
2013,Latvia,26.12
2013,Lithuania,24.1
2013,Luxembourg,16.83
2013,Malta,16.99
2013,Netherlands,11.68
2013,Norway,9.92
2013,Poland,35.68
2013,Portugal,30.4
2013,Romania,47.11
2013,Slovakia,39.38
2013,Slovenia,19.16
2013,Spain,27.25
2013,Sweden,9.2
2013,United Kingdom,13.79
2014,Austria,13.89
2014,Belgium,15.65
2014,Bulgaria,39.4
2014,Croatia,36.19
2014,Cyprus,31.76
2014,Czechia,23.93
2014,Denmark,11.26
2014,Estonia,14.98
2014,Finland,8.08
2014,France,17.22
2014,Germany,13.68
2014,Greece,43.25
2014,Hungary,30.1
2014,Iceland,7.61
2014,Ireland,16.39
2014,Italy,40.41
2014,Latvia,36.22
2014,Lithuania,33.88
2014,Luxembourg,16.64
2014,Malta,16.46
2014,Netherlands,11.17
2014,Norway,9.65
2014,Poland,36.29
2014,Portugal,28.62
2014,Romania,51.63
2014,Slovakia,37.79
2014,Slovenia,23.54
2014,Spain,25.22
2014,Sweden,7.69
2014,United Kingdom,11.7
2015,Austria,14.1
2015,Belgium,13.46
2015,Bulgaria,38.09
2015,Croatia,37.34
2015,Cyprus,31.1
2015,Czechia,24.27
2015,Denmark,11.6
2015,Estonia,14.17
2015,Finland,7.91
2015,France,17.46
2015,Germany,13.32
2015,Greece,40.5
2015,Hungary,31.68
2015,Iceland,10.94
2015,Ireland,16.73
2015,Italy,37.65
2015,Latvia,30.18
2015,Lithuania,36.47
2015,Luxembourg,14.03
2015,Malta,18.41
2015,Netherlands,11.54
2015,Norway,10.13
2015,Poland,38.07
2015,Portugal,28.73
2015,Romania,49.28
2015,Slovakia,38.95
2015,Slovenia,22.73
2015,Spain,24.76
2015,Sweden,8.27
2015,United Kingdom,12.7
2016,Austria,14.44
2016,Belgium,13.91
2016,Bulgaria,44.26
2016,Croatia,38.05
2016,Cyprus,29.43
2016,Czechia,23.84
2016,Denmark,9.99
2016,Estonia,19.41
2016,Finland,7.69
2016,France,16.9
2016,Germany,13.03
2016,Greece,42.68
2016,Hungary,30.98
2016,Iceland,6.49
2016,Ireland,16.54
2016,Italy,37.7
2016,Latvia,34.07
2016,Lithuania,34.11
2016,Luxembourg,17.23
2016,Malta,17.24
2016,Netherlands,11.05
2016,Norway,9.54
2016,Poland,37.3
2016,Portugal,27.18
2016,Romania,49.65
2016,Slovakia,36.92
2016,Slovenia,23.85
2016,Spain,25.63
2016,Sweden,8.06
2016,United Kingdom,10.82
2017,Austria,13.69
2017,Belgium,14.36
2017,Bulgaria,44.62
2017,Croatia,35.99
2017,Cyprus,31.23
2017,Czechia,23.85
2017,Denmark,9.31
2017,Estonia,15.78
2017,Finland,8.13
2017,France,16.44
2017,Germany,12.99
2017,Greece,42.07
2017,Hungary,31.4
2017,Iceland,10.43
2017,Ireland,17.69
2017,Italy,36.89
2017,Latvia,34.98
2017,Lithuania,37.14
2017,Luxembourg,15.99
2017,Malta,20.46
2017,Netherlands,11.54
2017,Norway,8.88
2017,Poland,37.99
2017,Portugal,24.99
2017,Romania,48.91
2017,Slovakia,38.29
2017,Slovenia,22.12
2017,Spain,24.81
2017,Sweden,7.74
2017,United Kingdom,11.71
2018,Austria,13.04
2018,Belgium,13.39
2018,Bulgaria,40.42
2018,Croatia,36.89
2018,Cyprus,35.84
2018,Czechia,25.91
2018,Denmark,10.52
2018,Estonia,14.66
2018,Finland,7.96
2018,France,16.31
2018,Germany,12.76
2018,Greece,40.93
2018,Hungary,31.43
2018,Iceland,11.2
2018,Ireland,16.46
2018,Italy,35.52
2018,Latvia,32.66
2018,Lithuania,34.14
2018,Luxembourg,15.04
2018,Malta,21.24
2018,Netherlands,11.91
2018,Norway,9.09
2018,Poland,39.21
2018,Portugal,23.92
2018,Romania,45.99
2018,Slovakia,37.91
2018,Slovenia,17.23
2018,Spain,24.35
2018,Sweden,8.2
2018,United Kingdom,11.95
2019,Austria,12.1
2019,Belgium,12.98
2019,Bulgaria,41.28
2019,Croatia,37.24
2019,Cyprus,32.12
2019,Czechia,27.03
2019,Denmark,9.82
2019,Estonia,11.82
2019,Finland,7.91
2019,France,16.1
2019,Germany,12.89
2019,Greece,44.61
2019,Hungary,29.54
2019,Iceland,8.55
2019,Ireland,16.33
2019,Italy,36.28
2019,Latvia,33.3
2019,Lithuania,34.8
2019,Luxembourg,14.16
2019,Malta,19.0
2019,Netherlands,11.37
2019,Norway,9.19
2019,Poland,36.67
2019,Portugal,23.2
2019,Romania,46.56
2019,Slovakia,34.76
2019,Slovenia,16.26
2019,Spain,24.49
2019,Sweden,8.14
2019,United Kingdom,14.67
2020,Austria,12.23
2020,Belgium,13.72
2020,Bulgaria,47.17
2020,Croatia,39.91
2020,Cyprus,34.05
2020,Czechia,25.16
2020,Denmark,9.63
2020,Estonia,12.32
2020,Finland,8.37
2020,France,14.25
2020,Germany,12.99
2020,Greece,44.95
2020,Hungary,33.24
2020,Iceland,7.74
2020,Ireland,15.72
2020,Italy,37.82
2020,Latvia,34.01
2020,Lithuania,35.7
2020,Luxembourg,16.04
2020,Malta,23.68
2020,Netherlands,11.67
2020,Norway,9.28
2020,Poland,38.1
2020,Portugal,20.2
2020,Romania,46.91
2020,Slovakia,34.98
2020,Slovenia,15.6
2020,Spain,24.41
2020,Sweden,8.13
2021,Austria,13.28
2021,Belgium,12.64
2021,Bulgaria,45.21
2021,Croatia,41.18
2021,Cyprus,37.17
2021,Czechia,28.02
2021,Denmark,8.91
2021,Estonia,12.45
2021,Finland,7.61
2021,France,13.58
2021,Germany,13.11
2021,Greece,46.59
2021,Hungary,34.31
2021,Iceland,6.85
2021,Ireland,15.09
2021,Italy,38.07
2021,Latvia,31.35
2021,Lithuania,35.71
2021,Luxembourg,15.26
2021,Malta,24.54
2021,Netherlands,11.9
2021,Norway,9.29
2021,Poland,39.74
2021,Portugal,19.89
2021,Romania,47.57
2021,Slovakia,39.56
2021,Slovenia,22.4
2021,Spain,24.81
2021,Sweden,7.48
2022,Austria,11.14
2022,Belgium,13.02
2022,Bulgaria,45.97
2022,Croatia,40.2
2022,Cyprus,40.72
2022,Czechia,26.59
2022,Denmark,8.84
2022,Estonia,13.39
2022,Finland,7.46
2022,France,13.56
2022,Germany,12.76
2022,Greece,49.12
2022,Hungary,29.89
2022,Iceland,12.78
2022,Ireland,14.16
2022,Italy,35.96
2022,Latvia,35.61
2022,Liechtenstein,
2022,Lithuania,34.42
2022,Luxembourg,13.3
2022,Malta,18.6
2022,Netherlands,11.34
2022,Norway,9.49
2022,Poland,35.9
2022,Portugal,21.3
2022,Romania,47.35
2022,Slovakia,35.9
2022,Slovenia,18.41
2022,Spain,21.98
2022,Sweden,7.4
2023,Austria,12.15
2023,Belgium,13.51
2023,Bulgaria,46.36
2023,Croatia,39.0
2023,Cyprus,38.15
2023,Czechia,24.96
2023,Denmark,8.33
2023,Estonia,12.28
2023,Finland,7.66
2023,France,23.88
2023,Germany,12.51
2023,Greece,49.69
2023,Hungary,28.34
2023,Iceland,11.71
2023,Ireland,14.03
2023,Italy,34.6
2023,Latvia,35.89
2023,Liechtenstein,
2023,Lithuania,34.32
2023,Luxembourg,15.77
2023,Malta,16.86
2023,Netherlands,11.22
2023,Norway,9.01
2023,Poland,38.19
2023,Portugal,23.16
2023,Romania,47.66
2023,Slovakia,32.4
2023,Slovenia,15.59
2023,Spain,20.83
2023,Sweden,7.83
2024,Austria,12.0
2024,Belgium,13.49
2024,Bulgaria,46.8
2024,Croatia,41.11
2024,Cyprus,44.18
2024,Czechia,22.22
2024,Denmark,8.68
2024,Estonia,10.84
2024,Finland,7.14
2024,France,13.4
2024,Germany,12.33
2024,Greece,48.45
2024,Hungary,27.56
2024,Iceland,12.68
2024,Ireland,13.43
2024,Italy,33.68
2024,Latvia,33.62
2024,Liechtenstein,
2024,Lithuania,34.51
2024,Luxembourg,15.12
2024,Malta,22.69
2024,Netherlands,11.8
2024,Norway,9.01
2024,Poland,34.67
2024,Portugal,20.95
2024,Romania,44.15
2024,Slovakia,31.55
2024,Slovenia,13.64
2024,Spain,18.99
2024,Sweden,8.25
